"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
93,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",93,"Novi Grad","Opcine","Commune",NA,NA
94,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",94,"Oštra Luka","Opcine","Commune",NA,"Srpski Sanski Most"
95,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",95,"Petrovac","Opcine","Commune",NA,NA
96,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",96,"Prijedor","Opcine","Commune",NA,NA
97,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",97,"Prnjavor","Opcine","Commune",NA,NA
98,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",98,"Ribnik","Opcine","Commune",NA,"Srpski Kljuc"
99,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",99,"Skender Vakuf / Kneževo","Opcine","Commune",NA,NA
100,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",100,"Srbac","Opcine","Commune",NA,NA
101,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",12,"Banja Luka",101,"Teslic","Opcine","Commune",NA,NA
102,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",13,"Bijeljina",102,"Bijeljina","Opcine","Commune",NA,NA
103,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",13,"Bijeljina",103,"Lopare","Opcine","Commune",NA,NA
104,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",13,"Bijeljina",104,"Ugljevik","Opcine","Commune",NA,NA
105,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",105,"Šamac","Opcine","Commune",NA,NA
106,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",106,"Bosanski Brod","Opcine","Commune",NA,"Srpski Brod"
107,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",107,"Derventa","Opcine","Commune",NA,NA
108,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",108,"Doboj","Opcine","Commune",NA,NA
109,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",109,"Donji Žabar","Opcine","Commune",NA,"Srpsko Orašje"
110,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",110,"Modrica","Opcine","Commune",NA,NA
111,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",111,"Pelagicevo","Opcine","Commune",NA,NA
112,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",112,"Petrovo","Opcine","Commune",NA,NA
113,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",14,"Doboj",113,"Vukosavlje","Opcine","Commune",NA,NA
114,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",15,"Foca",114,"Cajnice","Opcine","Commune",NA,NA
115,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",15,"Foca",115,"Foca","Opcine","Commune",NA,"Srbinje"
116,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",15,"Foca",116,"Kalinovik","Opcine","Commune",NA,NA
117,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",15,"Foca",117,"Novo Goražde","Opcine","Commune",NA,"Srpsko Goražde"
118,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",15,"Foca",118,"Rudo","Opcine","Commune",NA,NA
119,30,"BIH","Bosnia and Herzegovina",3,"Repuplika Srpska",15,"Foca",119,"Višegrad","Opcine","Commune",NA,NA
